transaction_id,transaction_date,region,category,revenue,refunded,refund_amount
TX-0000053,2024-01-04,West Midlands,Training,253.21,0,0.0
TX-0000054,2024-01-04,London,Training,279.81,0,0.0
TX-0000055,2024-01-04,Yorkshire,Subscription,52.15,0,0.0
TX-0000056,2024-01-04,East Midlands,Training,187.49,0,0.0
TX-0000057,2024-01-04,North West,Training,189.13,0,0.0
TX-0000058,2024-01-04,West Midlands,Consulting,630.16,0,0.0
TX-0000059,2024-01-04,East Midlands,Training,184.19,0,0.0
TX-0000060,2024-01-04,Yorkshire,Training,210.71,0,0.0
TX-0000061,2024-01-04,London,Subscription,83.38,0,0.0
TX-0000062,2024-01-04,London,Training,261.25,0,0.0
TX-0000063,2024-01-04,Yorkshire,Training,199.37,0,0.0
TX-0000064,2024-01-04,London,Consulting,501.31,0,0.0
TX-0000065,2024-01-04,North West,Subscription,31.91,0,0.0
TX-0000066,2024-01-04,West Midlands,Subscription,29.82,0,0.0
TX-0000067,2024-01-04,East Midlands,Training,254.74,0,0.0
TX-0000068,2024-01-04,North West,Training,440.4,0,0.0
TX-0000069,2024-01-04,East Midlands,Consulting,811.94,0,0.0
TX-0000070,2024-01-04,London,Training,421.59,0,0.0
TX-0000071,2024-01-04,West Midlands,Training,265.64,0,0.0
TX-0000072,2024-01-04,West Midlands,Consulting,355.23,0,0.0
TX-0000073,2024-01-05,North West,Training,50.0,0,0.0
TX-0000074,2024-01-05,London,Training,253.94,0,0.0
TX-0000075,2024-01-05,Yorkshire,Training,302.69,0,0.0
TX-0000076,2024-01-05,London,Consulting,576.94,0,0.0
TX-0000077,2024-01-05,North West,Consulting,729.05,0,0.0
TX-0000078,2024-01-05,North West,Subscription,75.31,0,0.0
TX-0000079,2024-01-05,North West,Training,247.7,0,0.0
TX-0000080,2024-01-05,London,Consulting,260.31,0,0.0
TX-0000081,2024-01-05,Yorkshire,Subscription,57.41,1,29.79
TX-0000082,2024-01-05,West Midlands,Training,125.49,0,0.0
TX-0000083,2024-01-05,London,Training,190.49,0,0.0
TX-0000084,2024-01-05,Yorkshire,Consulting,792.49,0,0.0
TX-0000085,2024-01-05,East Midlands,Subscription,64.2,0,0.0
TX-0000086,2024-01-05,West Midlands,Training,250.14,0,0.0
TX-0000087,2024-01-05,North West,Training,164.49,0,0.0
TX-0000088,2024-01-06,West Midlands,Training,428.23,0,0.0
TX-0000089,2024-01-06,East Midlands,Consulting,544.88,0,0.0
TX-0000090,2024-01-06,London,Training,196.26,0,0.0
TX-0000091,2024-01-06,Yorkshire,Training,235.18,0,0.0
TX-0000092,2024-01-06,London,Training,274.44,0,0.0
TX-0000093,2024-01-06,London,Training,151.57,0,0.0
TX-0000094,2024-01-06,Yorkshire,Training,196.13,0,0.0
TX-0000095,2024-01-06,Yorkshire,Consulting,142.77,1,92.92
TX-0000096,2024-01-06,East Midlands,Consulting,465.11,0,0.0
TX-0000097,2024-01-06,West Midlands,Training,215.52,0,0.0
TX-0000098,2024-01-07,East Midlands,Training,214.41,0,0.0
TX-0000099,2024-01-07,Yorkshire,Training,155.59,0,0.0
TX-0000100,2024-01-07,North West,Subscription,45.84,0,0.0
TX-0000101,2024-01-07,East Midlands,Training,77.36,0,0.0
TX-0000102,2024-01-07,London,Training,217.56,0,0.0
TX-0000103,2024-01-07,Yorkshire,Subscription,48.9,0,0.0
TX-0000104,2024-01-08,East Midlands,Consulting,640.61,0,0.0
TX-0000105,2024-01-08,Yorkshire,Consulting,233.8,0,0.0
TX-0000106,2024-01-08,West Midlands,Training,296.55,0,0.0
TX-0000107,2024-01-08,London,Consulting,552.22,0,0.0
TX-0000108,2024-01-08,North West,Training,192.07,0,0.0
TX-0000109,2024-01-08,London,Training,352.71,0,0.0
TX-0000110,2024-01-08,Yorkshire,Training,241.3,0,0.0
TX-0000111,2024-01-08,London,Consulting,397.02,0,0.0
TX-0000112,2024-01-08,West Midlands,Training,261.44,0,0.0
TX-0000113,2024-01-08,London,Consulting,251.8,0,0.0
TX-0000114,2024-01-08,East Midlands,Training,228.03,0,0.0
TX-0000115,2024-01-08,London,Training,129.42,0,0.0
TX-0000116,2024-01-08,North West,Training,266.06,0,0.0
TX-0000117,2024-01-08,Yorkshire,Training,270.64,0,0.0
TX-0000118,2024-01-09,London,Training,211.25,0,0.0
TX-0000119,2024-01-09,East Midlands,Consulting,546.98,0,0.0
TX-0000120,2024-01-09,East Midlands,Subscription,57.51,0,0.0
TX-0000121,2024-01-09,Yorkshire,Consulting,242.12,0,0.0
TX-0000122,2024-01-09,North West,Subscription,73.76,0,0.0
TX-0000123,2024-01-09,Yorkshire,Subscription,93.97,0,0.0
TX-0000124,2024-01-09,Yorkshire,Subscription,121.89,0,0.0
TX-0000125,2024-01-09,East Midlands,Training,227.39,0,0.0
TX-0000126,2024-01-09,London,Subscription,69.62,0,0.0
TX-0000127,2024-01-09,East Midlands,Subscription,94.18,0,0.0
TX-0000128,2024-01-09,Yorkshire,Training,136.03,0,0.0
TX-0000129,2024-01-09,London,Subscription,90.33,0,0.0
TX-0000130,2024-01-09,Yorkshire,Training,87.15,0,0.0
TX-0000131,2024-01-09,London,Training,127.55,0,0.0
TX-0000132,2024-01-09,North West,Training,202.07,0,0.0
TX-0000133,2024-01-09,East Midlands,Training,189.29,0,0.0
TX-0000134,2024-01-10,East Midlands,Consulting,624.13,0,0.0
TX-0000135,2024-01-10,East Midlands,Subscription,38.64,0,0.0
TX-0000136,2024-01-10,Yorkshire,Training,209.87,0,0.0
TX-0000137,2024-01-10,West Midlands,Training,192.08,0,0.0
TX-0000138,2024-01-10,North West,Subscription,63.26,0,0.0
TX-0000139,2024-01-10,West Midlands,Training,269.09,0,0.0
TX-0000140,2024-01-10,London,Training,294.63,0,0.0
TX-0000141,2024-01-10,London,Training,245.69,0,0.0
TX-0000142,2024-01-10,London,Subscription,67.67,0,0.0
TX-0000143,2024-01-10,North West,Subscription,61.0,0,0.0
TX-0000144,2024-01-10,London,Training,95.03,0,0.0
TX-0000145,2024-01-11,London,Consulting,200.24,0,0.0
TX-0000146,2024-01-11,West Midlands,Training,156.81,0,0.0
TX-0000147,2024-01-11,North West,Training,237.5,0,0.0
TX-0000148,2024-01-11,London,Subscription,52.97,0,0.0
TX-0000149,2024-01-11,London,Training,156.09,0,0.0
TX-0000150,2024-01-11,London,Consulting,287.4,0,0.0
TX-0000151,2024-01-11,North West,Training,222.99,0,0.0
TX-0000152,2024-01-11,North West,Subscription,89.35,0,0.0
TX-0000153,2024-01-11,West Midlands,Subscription,26.04,0,0.0
TX-0000154,2024-01-11,East Midlands,Training,200.34,0,0.0
TX-0000155,2024-01-11,East Midlands,Subscription,79.23,0,0.0
TX-0000156,2024-01-11,North West,Training,241.1,0,0.0
TX-0000157,2024-01-11,West Midlands,Training,172.15,0,0.0
TX-0000158,2024-01-11,West Midlands,Consulting,455.81,0,0.0
TX-0000159,2024-01-11,North West,Training,252.71,0,0.0
TX-0000160,2024-01-11,East Midlands,Training,301.28,0,0.0
TX-0000161,2024-01-11,London,Training,92.14,0,0.0
TX-0000162,2024-01-11,North West,Training,151.08,0,0.0
TX-0000163,2024-01-12,London,Training,242.11,0,0.0
TX-0000164,2024-01-12,Yorkshire,Training,254.67,0,0.0
TX-0000165,2024-01-12,North West,Training,239.52,0,0.0
TX-0000166,2024-01-12,North West,Consulting,524.05,0,0.0
TX-0000167,2024-01-12,London,Training,290.62,0,0.0
TX-0000168,2024-01-12,East Midlands,Consulting,532.64,0,0.0
TX-0000169,2024-01-12,West Midlands,Consulting,912.56,0,0.0
TX-0000170,2024-01-12,East Midlands,Training,166.07,0,0.0
TX-0000171,2024-01-12,North West,Training,191.42,0,0.0
TX-0000172,2024-01-12,West Midlands,Training,103.86,0,0.0
TX-0000173,2024-01-12,East Midlands,Consulting,557.25,0,0.0
TX-0000174,2024-01-12,West Midlands,Training,239.24,0,0.0
TX-0000175,2024-01-12,East Midlands,Training,207.43,0,0.0
TX-0000176,2024-01-12,West Midlands,Consulting,243.65,0,0.0
TX-0000177,2024-01-12,East Midlands,Training,377.14,0,0.0
TX-0000178,2024-01-12,East Midlands,Training,253.5,0,0.0
TX-0000179,2024-01-12,North West,Training,286.1,0,0.0
TX-0000180,2024-01-12,East Midlands,Training,112.42,0,0.0
TX-0000181,2024-01-12,Yorkshire,Training,246.74,0,0.0
TX-0000182,2024-01-12,East Midlands,Training,260.06,0,0.0
TX-0000183,2024-01-12,North West,Consulting,760.5,0,0.0
TX-0000184,2024-01-12,Yorkshire,Training,267.08,0,0.0
TX-0000185,2024-01-12,North West,Consulting,642.63,0,0.0
TX-0000186,2024-01-12,East Midlands,Training,95.63,0,0.0
TX-0000187,2024-01-12,North West,Training,203.38,0,0.0
TX-0000188,2024-01-13,East Midlands,Training,227.03,0,0.0
TX-0000189,2024-01-13,West Midlands,Subscription,54.35,0,0.0
TX-0000190,2024-01-13,East Midlands,Training,291.59,0,0.0
TX-0000191,2024-01-13,North West,Training,335.93,0,0.0
TX-0000192,2024-01-13,London,Subscription,60.7,0,0.0
TX-0000193,2024-01-13,North West,Consulting,127.17,0,0.0
TX-0000194,2024-01-14,London,Training,301.31,0,0.0
TX-0000195,2024-01-14,London,Training,206.04,0,0.0
TX-0000196,2024-01-14,West Midlands,Subscription,47.06,0,0.0
TX-0000197,2024-01-14,West Midlands,Training,269.75,0,0.0
TX-0000198,2024-01-14,Yorkshire,Training,337.42,0,0.0
TX-0000199,2024-01-14,West Midlands,Consulting,465.46,0,0.0
TX-0000200,2024-01-14,North West,Training,346.77,0,0.0
TX-0000201,2024-01-14,West Midlands,Consulting,649.68,0,0.0
TX-0000202,2024-01-14,North West,Training,98.46,0,0.0
TX-0000203,2024-01-14,Yorkshire,Subscription,74.04,0,0.0
TX-0000204,2024-01-15,North West,Subscription,86.74,0,0.0
TX-0000205,2024-01-15,Yorkshire,Subscription,69.09,0,0.0
TX-0000206,2024-01-15,Yorkshire,Training,148.27,0,0.0
TX-0000207,2024-01-15,Yorkshire,Training,218.98,0,0.0
TX-0000208,2024-01-15,North West,Training,191.63,0,0.0
TX-0000209,2024-01-15,North West,Consulting,271.33,0,0.0
TX-0000210,2024-01-15,North West,Subscription,55.84,0,0.0
TX-0000211,2024-01-15,Yorkshire,Subscription,49.82,0,0.0
TX-0000212,2024-01-15,North West,Training,207.96,0,0.0
TX-0000213,2024-01-15,North West,Training,208.55,0,0.0
TX-0000214,2024-01-15,West Midlands,Training,156.07,0,0.0
TX-0000215,2024-01-15,East Midlands,Training,146.08,0,0.0
TX-0000216,2024-01-15,London,Subscription,45.17,0,0.0
TX-0000217,2024-01-15,North West,Training,248.98,0,0.0
TX-0000218,2024-01-15,West Midlands,Training,128.37,0,0.0
TX-0000219,2024-01-15,London,Training,317.53,0,0.0
TX-0000220,2024-01-15,East Midlands,Training,138.1,0,0.0
TX-0000221,2024-01-16,Yorkshire,Subscription,48.3,0,0.0
TX-0000222,2024-01-16,North West,Training,167.25,0,0.0
TX-0000223,2024-01-16,Yorkshire,Training,248.18,0,0.0
TX-0000224,2024-01-16,Yorkshire,Training,224.27,0,0.0
TX-0000225,2024-01-16,North West,Training,138.17,0,0.0
TX-0000226,2024-01-16,East Midlands,Training,225.8,0,0.0
TX-0000227,2024-01-16,London,Training,250.37,1,215.86
TX-0000228,2024-01-16,East Midlands,Consulting,468.86,0,0.0
TX-0000229,2024-01-16,Yorkshire,Subscription,84.28,0,0.0
TX-0000230,2024-01-16,East Midlands,Subscription,15.0,0,0.0
TX-0000231,2024-01-16,Yorkshire,Training,195.82,0,0.0
TX-0000232,2024-01-16,West Midlands,Training,163.29,0,0.0
TX-0000233,2024-01-16,Yorkshire,Consulting,520.4,0,0.0
TX-0000234,2024-01-16,West Midlands,Training,369.35,0,0.0
TX-0000235,2024-01-16,London,Subscription,31.13,0,0.0
TX-0000236,2024-01-16,East Midlands,Subscription,42.11,0,0.0
TX-0000237,2024-01-16,London,Consulting,398.52,0,0.0
TX-0000238,2024-01-17,West Midlands,Consulting,612.78,0,0.0
TX-0000239,2024-01-17,Yorkshire,Subscription,76.65,0,0.0
TX-0000240,2024-01-17,North West,Training,213.88,0,0.0
TX-0000241,2024-01-17,East Midlands,Training,301.0,0,0.0
TX-0000242,2024-01-17,North West,Consulting,463.58,0,0.0
TX-0000243,2024-01-17,West Midlands,Training,263.95,0,0.0
TX-0000244,2024-01-17,North West,Training,221.66,0,0.0
TX-0000245,2024-01-17,Yorkshire,Training,150.11,0,0.0
TX-0000246,2024-01-17,London,Consulting,282.44,0,0.0
TX-0000247,2024-01-17,London,Consulting,538.82,0,0.0
TX-0000248,2024-01-17,West Midlands,Subscription,45.84,0,0.0
TX-0000249,2024-01-17,East Midlands,Subscription,40.23,0,0.0
TX-0000250,2024-01-17,London,Training,202.93,0,0.0
TX-0000251,2024-01-17,London,Training,257.73,0,0.0
TX-0000252,2024-01-17,London,Training,272.07,0,0.0
TX-0000253,2024-01-18,West Midlands,Training,265.23,0,0.0
TX-0000254,2024-01-18,West Midlands,Subscription,47.17,0,0.0
TX-0000255,2024-01-18,London,Subscription,79.4,0,0.0
TX-0000256,2024-01-18,West Midlands,Consulting,479.43,0,0.0
TX-0000257,2024-01-18,London,Subscription,40.1,0,0.0
TX-0000258,2024-01-18,Yorkshire,Training,271.02,0,0.0
TX-0000259,2024-01-18,Yorkshire,Training,197.27,0,0.0
TX-0000260,2024-01-18,East Midlands,Consulting,734.71,0,0.0
TX-0000261,2024-01-18,North West,Training,208.01,0,0.0
TX-0000262,2024-01-18,West Midlands,Training,342.66,0,0.0
TX-0000263,2024-01-18,North West,Consulting,863.23,0,0.0
TX-0000264,2024-01-18,West Midlands,Subscription,72.14,0,0.0
TX-0000265,2024-01-18,London,Consulting,548.22,0,0.0
TX-0000266,2024-01-18,London,Subscription,53.31,0,0.0
TX-0000267,2024-01-18,West Midlands,Training,232.16,0,0.0
TX-0000268,2024-01-18,North West,Consulting,601.76,0,0.0
TX-0000269,2024-01-18,North West,Training,383.51,1,193.4
TX-0000270,2024-01-19,London,Training,321.9,0,0.0
TX-0000271,2024-01-19,Yorkshire,Subscription,46.77,0,0.0
TX-0000272,2024-01-19,Yorkshire,Training,369.02,0,0.0
TX-0000273,2024-01-19,Yorkshire,Training,319.98,0,0.0
TX-0000274,2024-01-19,London,Training,263.64,0,0.0
TX-0000275,2024-01-19,East Midlands,Consulting,237.3,0,0.0
TX-0000276,2024-01-19,West Midlands,Training,273.4,0,0.0
TX-0000277,2024-01-19,North West,Training,168.98,0,0.0
TX-0000278,2024-01-19,East Midlands,Consulting,321.05,0,0.0
TX-0000279,2024-01-19,North West,Training,212.45,0,0.0
TX-0000280,2024-01-19,Yorkshire,Training,92.03,0,0.0
TX-0000281,2024-01-19,London,Training,227.16,0,0.0
TX-0000282,2024-01-19,Yorkshire,Training,250.46,0,0.0
TX-0000283,2024-01-19,East Midlands,Training,291.11,0,0.0
TX-0000284,2024-01-19,North West,Training,172.27,0,0.0
TX-0000285,2024-01-19,Yorkshire,Training,181.33,0,0.0
TX-0000286,2024-01-19,West Midlands,Training,328.03,0,0.0
TX-0000287,2024-01-19,East Midlands,Training,319.85,0,0.0
TX-0000288,2024-01-19,London,Consulting,148.14,0,0.0
TX-0000289,2024-01-19,North West,Training,264.82,0,0.0
TX-0000290,2024-01-19,North West,Training,300.42,0,0.0
TX-0000291,2024-01-20,Yorkshire,Training,279.1,0,0.0
TX-0000292,2024-01-20,London,Training,167.91,0,0.0
TX-0000293,2024-01-20,East Midlands,Training,240.43,0,0.0
TX-0000294,2024-01-20,North West,Subscription,46.99,0,0.0
TX-0000295,2024-01-21,North West,Training,213.88,0,0.0
TX-0000296,2024-01-21,East Midlands,Subscription,70.17,0,0.0
TX-0000297,2024-01-21,West Midlands,Training,96.25,0,0.0
TX-0000298,2024-01-21,North West,Training,64.38,0,0.0
TX-0000299,2024-01-21,Yorkshire,Subscription,37.54,0,0.0
TX-0000300,2024-01-21,London,Subscription,68.27,0,0.0
TX-0000301,2024-01-21,West Midlands,Training,184.78,0,0.0
TX-0000302,2024-01-21,North West,Training,256.78,0,0.0
TX-0000303,2024-01-22,Yorkshire,Training,233.4,0,0.0
TX-0000304,2024-01-22,North West,Subscription,58.95,0,0.0
TX-0000305,2024-01-22,London,Subscription,68.38,0,0.0
TX-0000306,2024-01-22,West Midlands,Training,239.73,0,0.0
TX-0000307,2024-01-22,North West,Training,232.78,0,0.0
TX-0000308,2024-01-22,Yorkshire,Training,94.13,0,0.0
TX-0000309,2024-01-22,London,Subscription,64.73,0,0.0
TX-0000310,2024-01-22,London,Subscription,56.15,0,0.0
TX-0000311,2024-01-22,East Midlands,Subscription,68.05,0,0.0
TX-0000312,2024-01-22,Yorkshire,Subscription,64.15,0,0.0
TX-0000313,2024-01-22,London,Training,184.94,0,0.0
TX-0000314,2024-01-22,West Midlands,Training,254.64,0,0.0
TX-0000315,2024-01-22,East Midlands,Consulting,723.56,0,0.0
TX-0000316,2024-01-22,North West,Consulting,547.75,0,0.0
TX-0000317,2024-01-22,West Midlands,Training,223.64,0,0.0
TX-0000318,2024-01-22,West Midlands,Subscription,62.99,0,0.0
TX-0000319,2024-01-22,North West,Subscription,80.97,0,0.0
TX-0000320,2024-01-22,London,Training,167.95,0,0.0
TX-0000321,2024-01-22,London,Training,222.97,0,0.0
TX-0000322,2024-01-22,East Midlands,Training,192.42,0,0.0
TX-0000323,2024-01-22,Yorkshire,Consulting,190.47,0,0.0
TX-0000324,2024-01-23,West Midlands,Consulting,590.03,0,0.0
TX-0000325,2024-01-23,Yorkshire,Consulting,427.77,0,0.0
TX-0000326,2024-01-23,North West,Training,271.46,0,0.0
TX-0000327,2024-01-23,West Midlands,Consulting,774.19,0,0.0
TX-0000328,2024-01-23,London,Training,217.12,0,0.0
TX-0000329,2024-01-23,West Midlands,Subscription,99.7,0,0.0
TX-0000330,2024-01-23,London,Subscription,88.45,0,0.0
TX-0000331,2024-01-23,West Midlands,Consulting,125.99,0,0.0
TX-0000332,2024-01-23,North West,Training,215.09,0,0.0
TX-0000333,2024-01-23,North West,Training,263.97,0,0.0
TX-0000334,2024-01-23,North West,Subscription,56.01,0,0.0
TX-0000335,2024-01-23,North West,Training,307.94,0,0.0
TX-0000336,2024-01-23,London,Consulting,523.79,0,0.0
TX-0000337,2024-01-23,Yorkshire,Training,266.42,0,0.0
TX-0000338,2024-01-23,London,Training,205.9,0,0.0
TX-0000339,2024-01-23,East Midlands,Training,83.02,0,0.0
TX-0000340,2024-01-24,North West,Consulting,521.8,0,0.0
TX-0000341,2024-01-24,Yorkshire,Consulting,496.83,0,0.0
TX-0000342,2024-01-24,Yorkshire,Subscription,118.06,0,0.0
TX-0000343,2024-01-24,Yorkshire,Training,252.62,0,0.0
TX-0000344,2024-01-24,London,Subscription,24.9,0,0.0
TX-0000345,2024-01-24,London,Training,402.9,0,0.0
TX-0000346,2024-01-24,West Midlands,Subscription,71.01,0,0.0
TX-0000347,2024-01-24,London,Subscription,84.44,0,0.0
TX-0000348,2024-01-24,London,Consulting,712.86,0,0.0
TX-0000349,2024-01-24,London,Consulting,292.69,0,0.0
TX-0000350,2024-01-24,East Midlands,Training,143.9,0,0.0
TX-0000351,2024-01-24,London,Subscription,77.13,0,0.0
TX-0000352,2024-01-24,North West,Training,139.01,0,0.0
TX-0000353,2024-01-24,Yorkshire,Training,77.82,0,0.0
TX-0000354,2024-01-24,North West,Training,168.61,0,0.0
TX-0000355,2024-01-24,London,Training,206.08,0,0.0
TX-0000356,2024-01-24,Yorkshire,Subscription,73.54,0,0.0
TX-0000357,2024-01-24,West Midlands,Subscription,51.01,0,0.0
TX-0000358,2024-01-24,East Midlands,Training,166.44,0,0.0
TX-0000359,2024-01-24,North West,Training,254.29,0,0.0
TX-0000360,2024-01-24,North West,Training,231.51,0,0.0
TX-0000361,2024-01-25,North West,Training,385.0,0,0.0
TX-0000362,2024-01-25,London,Subscription,37.49,0,0.0
TX-0000363,2024-01-25,Yorkshire,Subscription,82.08,0,0.0
TX-0000364,2024-01-25,London,Consulting,621.69,0,0.0
TX-0000365,2024-01-25,East Midlands,Subscription,45.27,0,0.0
TX-0000366,2024-01-25,North West,Subscription,59.03,0,0.0
TX-0000367,2024-01-25,Yorkshire,Training,180.95,0,0.0
TX-0000368,2024-01-25,East Midlands,Training,274.57,0,0.0
TX-0000369,2024-01-25,North West,Training,298.41,0,0.0
TX-0000370,2024-01-25,London,Consulting,456.78,0,0.0
TX-0000371,2024-01-25,London,Training,241.0,0,0.0
TX-0000372,2024-01-25,East Midlands,Training,168.67,0,0.0
TX-0000373,2024-01-25,North West,Training,281.32,0,0.0
TX-0000374,2024-01-25,East Midlands,Training,276.68,0,0.0
TX-0000375,2024-01-25,Yorkshire,Training,206.59,0,0.0
TX-0000376,2024-01-26,London,Consulting,283.81,0,0.0
TX-0000377,2024-01-26,East Midlands,Training,182.74,0,0.0
TX-0000378,2024-01-26,London,Consulting,323.01,0,0.0
TX-0000379,2024-01-26,North West,Subscription,66.71,0,0.0
TX-0000380,2024-01-26,North West,Subscription,60.13,0,0.0
TX-0000381,2024-01-26,London,Consulting,226.79,0,0.0
TX-0000382,2024-01-26,North West,Training,184.82,0,0.0
TX-0000383,2024-01-26,North West,Subscription,49.07,0,0.0
TX-0000384,2024-01-26,East Midlands,Training,296.59,0,0.0
TX-0000385,2024-01-26,London,Consulting,882.85,0,0.0
TX-0000386,2024-01-26,London,Training,359.31,0,0.0
TX-0000387,2024-01-26,North West,Training,362.62,0,0.0
TX-0000388,2024-01-26,East Midlands,Subscription,92.76,0,0.0
TX-0000389,2024-01-26,London,Training,189.22,0,0.0
TX-0000390,2024-01-26,North West,Training,197.99,0,0.0
TX-0000391,2024-01-27,London,Training,247.08,0,0.0
TX-0000392,2024-01-27,West Midlands,Training,155.18,0,0.0
TX-0000393,2024-01-27,Yorkshire,Subscription,72.27,0,0.0
TX-0000394,2024-01-27,Yorkshire,Training,225.33,0,0.0
TX-0000395,2024-01-27,London,Subscription,81.03,0,0.0
TX-0000396,2024-01-28,North West,Subscription,57.66,0,0.0
TX-0000397,2024-01-28,London,Training,147.91,0,0.0
TX-0000398,2024-01-28,West Midlands,Consulting,451.2,0,0.0
TX-0000399,2024-01-28,Yorkshire,Consulting,338.34,0,0.0
TX-0000400,2024-01-29,East Midlands,Training,184.26,0,0.0
TX-0000401,2024-01-29,East Midlands,Subscription,81.08,0,0.0
TX-0000402,2024-01-29,London,Training,151.04,0,0.0
TX-0000403,2024-01-29,West Midlands,Subscription,82.41,0,0.0
TX-0000404,2024-01-29,London,Consulting,269.67,0,0.0
TX-0000405,2024-01-29,West Midlands,Training,236.35,0,0.0
TX-0000406,2024-01-29,West Midlands,Training,162.23,0,0.0
TX-0000407,2024-01-29,London,Training,212.28,0,0.0
TX-0000408,2024-01-29,West Midlands,Consulting,394.94,0,0.0
TX-0000409,2024-01-29,London,Training,146.73,0,0.0
TX-0000410,2024-01-29,Yorkshire,Subscription,54.55,0,0.0
TX-0000411,2024-01-29,West Midlands,Subscription,54.01,0,0.0
TX-0000412,2024-01-29,London,Training,224.56,0,0.0
TX-0000413,2024-01-29,Yorkshire,Subscription,51.28,0,0.0
TX-0000414,2024-01-29,East Midlands,Training,203.15,0,0.0
TX-0000415,2024-01-29,North West,Training,254.55,1,253.67
TX-0000416,2024-01-29,West Midlands,Training,58.53,0,0.0
TX-0000417,2024-01-29,East Midlands,Subscription,56.4,0,0.0
TX-0000418,2024-01-29,London,Subscription,32.3,0,0.0
TX-0000419,2024-01-30,West Midlands,Subscription,70.01,0,0.0
TX-0000420,2024-01-30,London,Training,236.75,0,0.0
TX-0000421,2024-01-30,Yorkshire,Subscription,49.89,0,0.0
TX-0000422,2024-01-30,Yorkshire,Training,271.99,1,239.47
TX-0000423,2024-01-30,West Midlands,Training,187.97,0,0.0
TX-0000424,2024-01-30,Yorkshire,Training,444.06,0,0.0
TX-0000425,2024-01-30,West Midlands,Subscription,54.96,0,0.0
TX-0000426,2024-01-30,East Midlands,Subscription,36.05,0,0.0
TX-0000427,2024-01-30,North West,Consulting,246.07,0,0.0
TX-0000428,2024-01-30,London,Training,240.48,0,0.0
TX-0000429,2024-01-30,Yorkshire,Training,254.36,0,0.0
TX-0000430,2024-01-30,London,Training,134.97,0,0.0
